userid,movie_name,year,rating,movie_id
102935,burrowing,2009,3,burrowing+2009
131228,in bruges,2008,3,in+bruges+2008
147539,troy,2004,3,troy+2004
72285,thirteen,2003,3,thirteen+2003
57675,whiplash,2014,4,whiplash+2014
136261,the dark knight,2008,4,the+dark+knight+2008
126596,altman,2014,3,altman+2014
27943,the godfather,1972,5,the+godfather+1972
89360,interstellar,2014,5,interstellar+2014
133594,whiplash,2014,4,whiplash+2014
17184,inception,2010,4,inception+2010
47091,romeo and juliet,1968,5,romeo+and+juliet+1968
5965,the godfather,1972,4,the+godfather+1972
120863,my neighbor totoro,1988,4,my+neighbor+totoro+1988
119611,examined life,2008,5,examined+life+2008
108550,all the presidents men,1976,3,all+the+presidents+men+1976
94270,sirocco,1951,3,sirocco+1951
88218,one flew over the cuckoos nest,1975,5,one+flew+over+the+cuckoos+nest+1975
125796,raiders of the lost ark,1981,4,raiders+of+the+lost+ark+1981
15210,miracle in cell no. 7,2013,4,miracle+in+cell+no.+7+2013
51288,my neighbor totoro,1988,5,my+neighbor+totoro+1988
50488,the godfather,1972,5,the+godfather+1972
113830,interstellar,2014,3,interstellar+2014
45193,the impossible,2012,3,the+impossible+2012
89646,spirited away,2001,3,spirited+away+2001
64792,divine madness,1980,4,divine+madness+1980
5334,my neighbor totoro,1988,5,my+neighbor+totoro+1988
824,nightcrawler,2014,5,nightcrawler+2014
63643,fatherland,1994,3,fatherland+1994
24115,spirited away,2001,4,spirited+away+2001
72355,my neighbor totoro,1988,5,my+neighbor+totoro+1988
104111,constantine,2005,3,constantine+2005
104593,alien,1979,4,alien+1979
84483,the dark knight,2008,5,the+dark+knight+2008
89916,interstellar,2014,5,interstellar+2014
83453,waterloo,1970,4,waterloo+1970
107919,the dead zone,1983,4,the+dead+zone+1983
85970,the cameraman,1928,4,the+cameraman+1928
116808,miami connection,1987,3,miami+connection+1987
137076,the chronicles of narnia the lion_ the witch and the wardrobe,2005,4,the+chronicles+of+narnia+the+lion_+the+witch+and+the+wardrobe+2005
142239,the shawshank redemption,1994,5,the+shawshank+redemption+1994
104119,one flew over the cuckoos nest,1975,4,one+flew+over+the+cuckoos+nest+1975
89152,three kings,1999,4,three+kings+1999
101787,inception,2010,5,inception+2010
69059,inception,2010,5,inception+2010
111907,star wars,1977,3,star+wars+1977
131658,despicable me,2010,4,despicable+me+2010
100366,iron man,2008,5,iron+man+2008
42570,the godfather,1972,3,the+godfather+1972
123974,how to train your dragon,2010,4,how+to+train+your+dragon+2010
104291,coraline,2009,4,coraline+2009
118936,the godfather,1972,4,the+godfather+1972
134433,the shawshank redemption,1994,4,the+shawshank+redemption+1994
101802,the godfather,1972,4,the+godfather+1972
90620,my neighbor totoro,1988,3,my+neighbor+totoro+1988
136333,whiplash,2014,4,whiplash+2014
51905,spirited away,2001,5,spirited+away+2001
29629,adaptation.,2002,5,adaptation.+2002
11712,whiplash,2014,4,whiplash+2014
111130,my neighbor totoro,1988,3,my+neighbor+totoro+1988
102353,strange circus,2005,4,strange+circus+2005
122457,close encounters of the third kind,1977,4,close+encounters+of+the+third+kind+1977
141841,spirited away,2001,3,spirited+away+2001
654,if i were king,1938,4,if+i+were+king+1938
53071,star wars,1977,4,star+wars+1977
82528,galaxy quest,1999,3,galaxy+quest+1999
146031,inception,2010,4,inception+2010
68572,the mummy,1999,3,the+mummy+1999
117479,the lord of the rings the fellowship of the ring,2001,4,the+lord+of+the+rings+the+fellowship+of+the+ring+2001
121186,one hundred and one dalmatians,1961,4,one+hundred+and+one+dalmatians+1961
121692,alien,1979,4,alien+1979
7325,monty python and the holy grail,1975,4,monty+python+and+the+holy+grail+1975
55796,star wars,1977,4,star+wars+1977
144942,the shawshank redemption,1994,5,the+shawshank+redemption+1994
36215,mirrormask,2005,4,mirrormask+2005
77006,heaven  earth,1993,3,heaven++earth+1993
79802,real fiction,2000,3,real+fiction+2000
121232,interstellar,2014,4,interstellar+2014
71315,iron man,2008,4,iron+man+2008
105622,the lord of the rings the fellowship of the ring,2001,5,the+lord+of+the+rings+the+fellowship+of+the+ring+2001
53465,the strange love of martha ivers,1946,5,the+strange+love+of+martha+ivers+1946
141663,iron man,2008,5,iron+man+2008
5214,gone girl,2014,5,gone+girl+2014
16872,red state,2011,3,red+state+2011
2170,the dark knight,2008,5,the+dark+knight+2008
88015,raiders of the lost ark,1981,4,raiders+of+the+lost+ark+1981
78081,one flew over the cuckoos nest,1975,4,one+flew+over+the+cuckoos+nest+1975
98601,foo fighters back and forth,2011,5,foo+fighters+back+and+forth+2011
34783,north by northwest,1959,4,north+by+northwest+1959
63100,whiplash,2014,4,whiplash+2014
51394,spirited away,2001,4,spirited+away+2001
62111,guardians of the galaxy,2014,4,guardians+of+the+galaxy+2014
47682,the lord of the rings the fellowship of the ring,2001,4,the+lord+of+the+rings+the+fellowship+of+the+ring+2001
139366,interstellar,2014,4,interstellar+2014
63493,interstellar,2014,5,interstellar+2014
61041,waking life,2001,4,waking+life+2001
142764,star wars,1977,4,star+wars+1977
15912,inception,2010,4,inception+2010
141665,from russia with love,1963,4,from+russia+with+love+1963
42747,journey to italy,1954,3,journey+to+italy+1954
103505,hitman hart wrestling with shadows,1998,3,hitman+hart+wrestling+with+shadows+1998
4384,howls moving castle,2004,5,howls+moving+castle+2004
91376,hitler a film from germany,1977,4,hitler+a+film+from+germany+1977
149974,monty python and the holy grail,1975,4,monty+python+and+the+holy+grail+1975
53060,one flew over the cuckoos nest,1975,5,one+flew+over+the+cuckoos+nest+1975
89766,big hero 6,2014,4,big+hero+6+2014
61262,my neighbor totoro,1988,4,my+neighbor+totoro+1988
19240,the dark knight,2008,5,the+dark+knight+2008
99270,pirates of the caribbean the curse of the black pearl,2003,4,pirates+of+the+caribbean+the+curse+of+the+black+pearl+2003
78840,phineas and ferb the movie across the 2nd dimension,2011,4,phineas+and+ferb+the+movie+across+the+2nd+dimension+2011
111278,alien,1979,4,alien+1979
121445,the blacksmith,1922,4,the+blacksmith+1922
90309,man with a movie camera,1929,3,man+with+a+movie+camera+1929
50875,ladder 49,2004,4,ladder+49+2004
47636,the lord of the rings the fellowship of the ring,2001,5,the+lord+of+the+rings+the+fellowship+of+the+ring+2001
93432,interstellar,2014,4,interstellar+2014
15566,up,2009,5,up+2009
10959,interstellar,2014,4,interstellar+2014
57366,up,2009,4,up+2009
135866,one flew over the cuckoos nest,1975,5,one+flew+over+the+cuckoos+nest+1975
144209,tormento,1950,3,tormento+1950
21227,control,2007,4,control+2007
32851,wall street,1987,4,wall+street+1987
112212,the lord of the rings the fellowship of the ring,2001,5,the+lord+of+the+rings+the+fellowship+of+the+ring+2001
34819,shrek,2001,4,shrek+2001
42827,ratatouille,2007,4,ratatouille+2007
106208,pay it forward,2000,5,pay+it+forward+2000
46216,iron sky,2012,5,iron+sky+2012
47888,the dark knight,2008,4,the+dark+knight+2008
137820,raiders of the lost ark,1981,5,raiders+of+the+lost+ark+1981
147156,the lion king,1994,5,the+lion+king+1994
134235,the strawberry statement,1970,4,the+strawberry+statement+1970
17139,mauvais sang,1986,3,mauvais+sang+1986
83761,whiplash,2014,2,whiplash+2014
15194,the dark knight,2008,5,the+dark+knight+2008
107213,coraline,2009,3,coraline+2009
124526,that obscure object of desire,1977,3,that+obscure+object+of+desire+1977
109481,interstellar,2014,5,interstellar+2014
22302,national treasure book of secrets,2007,4,national+treasure+book+of+secrets+2007
113796,little richard,2000,4,little+richard+2000
21804,the dark knight,2008,5,the+dark+knight+2008
30414,good neighbor sam,1964,4,good+neighbor+sam+1964
55764,guardians of the galaxy,2014,4,guardians+of+the+galaxy+2014
325,the lord of the rings the fellowship of the ring,2001,4,the+lord+of+the+rings+the+fellowship+of+the+ring+2001
52595,the world according to monsanto,2008,4,the+world+according+to+monsanto+2008
148882,earth,2007,5,earth+2007
17371,the devil wears prada,2006,3,the+devil+wears+prada+2006
95875,the princess diaries,2001,3,the+princess+diaries+2001
139828,the imitation game,2014,5,the+imitation+game+2014
91454,raiders of the lost ark,1981,4,raiders+of+the+lost+ark+1981
23117,monty python and the holy grail,1975,5,monty+python+and+the+holy+grail+1975
140710,iron man,2008,3,iron+man+2008
148783,saw iii,2006,2,saw+iii+2006
10153,joe strummer the future is unwritten,2007,4,joe+strummer+the+future+is+unwritten+2007
77243,men in black ii,2002,3,men+in+black+ii+2002
37834,star wars,1977,4,star+wars+1977
49694,the three caballeros,1944,3,the+three+caballeros+1944
139305,roseannas grave,1997,3,roseannas+grave+1997
122395,guardians of the galaxy,2014,5,guardians+of+the+galaxy+2014
31088,mirror mirror,2012,3,mirror+mirror+2012
15831,whiplash,2014,4,whiplash+2014
3219,the shawshank redemption,1994,5,the+shawshank+redemption+1994
96798,seven years in tibet,1997,3,seven+years+in+tibet+1997
90681,up,2009,5,up+2009
137323,on the job,2013,3,on+the+job+2013
14895,the godfather,1972,3,the+godfather+1972
110788,alien,1979,5,alien+1979
115699,monty python and the holy grail,1975,4,monty+python+and+the+holy+grail+1975
145608,monty python and the holy grail,1975,4,monty+python+and+the+holy+grail+1975
110826,whiplash,2014,4,whiplash+2014
60927,splatter university,1984,3,splatter+university+1984
42427,spirited away,2001,4,spirited+away+2001
10434,czowiek z m-3,1969,3,czowiek+z+m-3+1969
115629,chicken run,2000,4,chicken+run+2000
94469,interstellar,2014,5,interstellar+2014
80247,inception,2010,4,inception+2010
60008,workers leaving the lumire factory,1895,4,workers+leaving+the+lumire+factory+1895
39313,my neighbor totoro,1988,4,my+neighbor+totoro+1988
8219,inception,2010,4,inception+2010
129709,the man who knew too much,1956,3,the+man+who+knew+too+much+1956
52483,whiplash,2014,5,whiplash+2014
31236,howls moving castle,2004,4,howls+moving+castle+2004
32028,stalag luft,1993,2,stalag+luft+1993
44122,inception,2010,4,inception+2010
112632,days of heaven,1978,4,days+of+heaven+1978
12347,my neighbor totoro,1988,4,my+neighbor+totoro+1988
16337,wreck-it ralph,2012,4,wreck-it+ralph+2012
72269,whiplash,2014,4,whiplash+2014
72026,spirited away,2001,3,spirited+away+2001
24077,the lord of the rings the return of the king,2003,4,the+lord+of+the+rings+the+return+of+the+king+2003
92533,men in black,1997,3,men+in+black+1997
11453,up,2009,4,up+2009
53301,the godfather,1972,5,the+godfather+1972
10550,accattone,1961,3,accattone+1961
88406,the method,2005,3,the+method+2005
144859,up,2009,4,up+2009
73446,the matrix,1999,3,the+matrix+1999
25195,one flew over the cuckoos nest,1975,4,one+flew+over+the+cuckoos+nest+1975
111466,guardians of the galaxy,2014,4,guardians+of+the+galaxy+2014
51735,inception,2010,5,inception+2010
44682,my neighbor totoro,1988,4,my+neighbor+totoro+1988
81296,monty python and the holy grail,1975,4,monty+python+and+the+holy+grail+1975
86292,whiplash,2014,5,whiplash+2014
52166,shrek,2001,3,shrek+2001
3323,sal_ or the 120 days of sodom,1975,4,sal_+or+the+120+days+of+sodom+1975
84932,interstellar,2014,4,interstellar+2014
132323,one flew over the cuckoos nest,1975,5,one+flew+over+the+cuckoos+nest+1975
45631,raiders of the lost ark,1981,4,raiders+of+the+lost+ark+1981
62151,the muppet movie,1979,3,the+muppet+movie+1979
10421,2001 a space odyssey,1968,3,2001+a+space+odyssey+1968
56708,gattaca,1997,4,gattaca+1997
33658,what we do in the shadows,2014,4,what+we+do+in+the+shadows+2014
110900,coraline,2009,4,coraline+2009
138692,badlands,1973,3,badlands+1973
82949,inception,2010,5,inception+2010
134420,the dark knight,2008,5,the+dark+knight+2008
130857,my neighbor totoro,1988,3,my+neighbor+totoro+1988
44509,my neighbor totoro,1988,4,my+neighbor+totoro+1988
117938,the shawshank redemption,1994,4,the+shawshank+redemption+1994
11019,munyurangabo,2007,3,munyurangabo+2007
123617,the lion king,1994,4,the+lion+king+1994
112648,raiders of the lost ark,1981,3,raiders+of+the+lost+ark+1981
69173,hidalgo,2004,4,hidalgo+2004
129585,see the sea,1997,5,see+the+sea+1997
107775,cheaper by the dozen 2,2005,3,cheaper+by+the+dozen+2+2005
27376,my neighbor totoro,1988,4,my+neighbor+totoro+1988
78888,alien,1979,4,alien+1979
54423,the shawshank redemption,1994,5,the+shawshank+redemption+1994
9865,iron man,2008,4,iron+man+2008
122103,friday the 13th,1980,4,friday+the+13th+1980
145618,howls moving castle,2004,4,howls+moving+castle+2004
115559,the dark knight rises,2012,5,the+dark+knight+rises+2012
93491,mclibel,2005,3,mclibel+2005
17893,the shawshank redemption,1994,5,the+shawshank+redemption+1994
139673,a very long engagement,2004,3,a+very+long+engagement+2004
136888,the hobbit an unexpected journey,2012,3,the+hobbit+an+unexpected+journey+2012
46318,alien,1979,3,alien+1979
123619,saving private ryan,1998,3,saving+private+ryan+1998
47127,reservoir dogs,1992,5,reservoir+dogs+1992
72256,my neighbor totoro,1988,4,my+neighbor+totoro+1988
109543,the dark knight,2008,3,the+dark+knight+2008
142780,one flew over the cuckoos nest,1975,5,one+flew+over+the+cuckoos+nest+1975
120734,the linguini incident,1991,3,the+linguini+incident+1991
47978,big hero 6,2014,3,big+hero+6+2014
23448,robin hood,2010,4,robin+hood+2010
114633,casino royale,2006,3,casino+royale+2006
136488,the shawshank redemption,1994,4,the+shawshank+redemption+1994
37928,the hunger games mockingjay - part 1,2014,3,the+hunger+games+mockingjay+-+part+1+2014
18774,dangerous beauty,1998,4,dangerous+beauty+1998
16867,inception,2010,4,inception+2010
21007,the cranes are flying,1957,4,the+cranes+are+flying+1957
44211,monty python and the holy grail,1975,5,monty+python+and+the+holy+grail+1975
114676,interstellar,2014,4,interstellar+2014
124671,my neighbor totoro,1988,3,my+neighbor+totoro+1988
73411,one flew over the cuckoos nest,1975,3,one+flew+over+the+cuckoos+nest+1975
11091,the dark knight,2008,4,the+dark+knight+2008
113305,the civil war,1990,4,the+civil+war+1990
46823,my neighbor totoro,1988,4,my+neighbor+totoro+1988
111414,sotji,2013,3,sotji+2013
108501,inception,2010,5,inception+2010
10020,iron man,2008,3,iron+man+2008
19924,coraline,2009,4,coraline+2009
23120,the shawshank redemption,1994,5,the+shawshank+redemption+1994
50392,black angel,1946,3,black+angel+1946
121553,its the great pumpkin_ charlie brown,1966,3,its+the+great+pumpkin_+charlie+brown+1966
55534,my neighbor totoro,1988,4,my+neighbor+totoro+1988
43248,the imitation game,2014,4,the+imitation+game+2014
25799,guardians of the galaxy,2014,5,guardians+of+the+galaxy+2014
80259,serena,2014,3,serena+2014
145755,the shawshank redemption,1994,3,the+shawshank+redemption+1994
10208,the host,2013,3,the+host+2013
144111,the shawshank redemption,1994,5,the+shawshank+redemption+1994
108878,topaz,1969,3,topaz+1969
146633,raiders of the lost ark,1981,4,raiders+of+the+lost+ark+1981
93576,raiders of the lost ark,1981,4,raiders+of+the+lost+ark+1981
95512,guardians of the galaxy,2014,5,guardians+of+the+galaxy+2014
144909,alien,1979,4,alien+1979
113749,raiders of the lost ark,1981,5,raiders+of+the+lost+ark+1981
40315,strange planet,1999,4,strange+planet+1999
100799,the day they robbed the bank of england,1960,3,the+day+they+robbed+the+bank+of+england+1960
147569,spider-man,2002,4,spider-man+2002
100815,sundome,2007,3,sundome+2007
112351,inception,2010,3,inception+2010
39058,fixed bayonets,1951,4,fixed+bayonets+1951
97340,thief,1981,5,thief+1981
16125,the godfather,1972,5,the+godfather+1972
61152,nosferatu,1922,5,nosferatu+1922
3466,spirited away,2001,4,spirited+away+2001
39442,car wash,1976,2,car+wash+1976
73371,pirates of the caribbean dead mans chest,2006,4,pirates+of+the+caribbean+dead+mans+chest+2006
136233,cool air,2006,5,cool+air+2006
121280,gone girl,2014,4,gone+girl+2014
43995,the house on carroll street,1988,3,the+house+on+carroll+street+1988
99590,the shawshank redemption,1994,4,the+shawshank+redemption+1994
46452,whiplash,2014,5,whiplash+2014
124264,interstellar,2014,4,interstellar+2014
58076,the adjustment bureau,2011,4,the+adjustment+bureau+2011
70680,alien,1979,4,alien+1979
106935,monty python and the holy grail,1975,5,monty+python+and+the+holy+grail+1975
32567,star wars,1977,4,star+wars+1977
96951,holiday in handcuffs,2007,4,holiday+in+handcuffs+2007
130833,spirited away,2001,5,spirited+away+2001
4278,runaway bride,1999,4,runaway+bride+1999
93082,robots,2005,3,robots+2005
79120,notorious,1946,5,notorious+1946
57405,wake,2009,4,wake+2009
3190,whiplash,2014,4,whiplash+2014
65559,the crimson kimono,1959,4,the+crimson+kimono+1959
83135,la grande bouffe,1973,3,la+grande+bouffe+1973
68689,raiders of the lost ark,1981,3,raiders+of+the+lost+ark+1981
84292,howls moving castle,2004,5,howls+moving+castle+2004
47854,skylark,1941,4,skylark+1941
71412,quantum of solace,2008,3,quantum+of+solace+2008
132706,iron man,2008,4,iron+man+2008
142789,up,2009,5,up+2009
80284,my neighbor totoro,1988,4,my+neighbor+totoro+1988
100250,snow white and the seven dwarfs,1937,4,snow+white+and+the+seven+dwarfs+1937
3866,my neighbor totoro,1988,4,my+neighbor+totoro+1988
13014,interstellar,2014,3,interstellar+2014
27286,coraline,2009,2,coraline+2009
75147,monty python and the holy grail,1975,4,monty+python+and+the+holy+grail+1975
126792,spirited away,2001,5,spirited+away+2001
33532,interstellar,2014,4,interstellar+2014
112601,the shining,1980,4,the+shining+1980
110143,up,2009,5,up+2009
104309,alien,1979,4,alien+1979
52000,the imitation game,2014,4,the+imitation+game+2014
11212,cinderella,1950,4,cinderella+1950
90456,monty python and the holy grail,1975,4,monty+python+and+the+holy+grail+1975
120318,the other dream team,2012,4,the+other+dream+team+2012
121944,busting,1974,4,busting+1974
146874,the lord of the rings the fellowship of the ring,2001,5,the+lord+of+the+rings+the+fellowship+of+the+ring+2001
82080,spirited away,2001,4,spirited+away+2001
103112,iron man,2008,4,iron+man+2008
9365,my neighbor totoro,1988,4,my+neighbor+totoro+1988
118379,carmen miranda bananas is my business,1995,4,carmen+miranda+bananas+is+my+business+1995
109334,interstellar,2014,4,interstellar+2014
24634,by the people the election of barack obama,2009,4,by+the+people+the+election+of+barack+obama+2009
55308,dawn of the planet of the apes,2014,3,dawn+of+the+planet+of+the+apes+2014
137043,one flew over the cuckoos nest,1975,5,one+flew+over+the+cuckoos+nest+1975
51267,the shawshank redemption,1994,5,the+shawshank+redemption+1994
116111,a jungle book of regulations,1974,5,a+jungle+book+of+regulations+1974
147675,coraline,2009,3,coraline+2009
132763,guardians of the galaxy,2014,4,guardians+of+the+galaxy+2014
46902,before night falls,2000,3,before+night+falls+2000
101412,coraline,2009,4,coraline+2009
70928,monty python and the holy grail,1975,4,monty+python+and+the+holy+grail+1975
48214,my neighbor totoro,1988,4,my+neighbor+totoro+1988
142083,coraline,2009,3,coraline+2009
54026,moonfleet,1955,3,moonfleet+1955
51232,alien,1979,5,alien+1979
105931,monty python and the holy grail,1975,4,monty+python+and+the+holy+grail+1975
117392,one flew over the cuckoos nest,1975,3,one+flew+over+the+cuckoos+nest+1975
83697,one flew over the cuckoos nest,1975,3,one+flew+over+the+cuckoos+nest+1975
109408,surviving progress,2011,4,surviving+progress+2011
38144,the dark knight,2008,4,the+dark+knight+2008
86464,amlie,2001,4,amlie+2001
119683,kuch kuch hota hai,1998,3,kuch+kuch+hota+hai+1998
49535,inception,2010,4,inception+2010
90913,love object,2003,3,love+object+2003
110476,mulan,1998,4,mulan+1998
28413,finding nemo,2003,3,finding+nemo+2003
9874,super duper alice cooper,2014,4,super+duper+alice+cooper+2014
97791,one flew over the cuckoos nest,1975,3,one+flew+over+the+cuckoos+nest+1975
2466,star wars,1977,5,star+wars+1977
38843,whiplash,2014,3,whiplash+2014
72391,the lord of the rings the fellowship of the ring,2001,3,the+lord+of+the+rings+the+fellowship+of+the+ring+2001
137457,tae guk gi the brotherhood of war,2004,4,tae+guk+gi+the+brotherhood+of+war+2004
13869,inception,2010,4,inception+2010
52006,a chump at oxford,1940,3,a+chump+at+oxford+1940
38166,keep the lights on,2012,4,keep+the+lights+on+2012
36920,the dark knight,2008,5,the+dark+knight+2008
76233,up,2009,3,up+2009
88791,the dark knight,2008,3,the+dark+knight+2008
118945,the collector,2005,4,the+collector+2005
29071,guardians of the galaxy,2014,5,guardians+of+the+galaxy+2014
58231,one flew over the cuckoos nest,1975,4,one+flew+over+the+cuckoos+nest+1975
5331,spirited away,2001,5,spirited+away+2001
38373,up,2009,4,up+2009
123,the dark knight,2008,4,the+dark+knight+2008
91179,shrek,2001,4,shrek+2001
104125,the lord of the rings the fellowship of the ring,2001,3,the+lord+of+the+rings+the+fellowship+of+the+ring+2001
8556,the dark knight,2008,3,the+dark+knight+2008
3070,the maid,2009,4,the+maid+2009
103633,evan almighty,2007,4,evan+almighty+2007
45519,raiders of the lost ark,1981,4,raiders+of+the+lost+ark+1981
17843,raiders of the lost ark,1981,5,raiders+of+the+lost+ark+1981
138405,the boy in the striped pyjamas,2008,4,the+boy+in+the+striped+pyjamas+2008
73197,one flew over the cuckoos nest,1975,5,one+flew+over+the+cuckoos+nest+1975
73800,a cure for love,1966,4,a+cure+for+love+1966
28105,the noose,1958,4,the+noose+1958
118564,howls moving castle,2004,5,howls+moving+castle+2004
86981,how to train your dragon,2010,4,how+to+train+your+dragon+2010
90930,it boy,2013,4,it+boy+2013
17307,brave,2012,4,brave+2012
27977,walk on the wild side,1962,3,walk+on+the+wild+side+1962
134747,cape fear,1962,3,cape+fear+1962
84760,monty python and the holy grail,1975,4,monty+python+and+the+holy+grail+1975
15360,cause for alarm,1951,4,cause+for+alarm+1951
78189,howls moving castle,2004,5,howls+moving+castle+2004
43456,aladdin,1992,5,aladdin+1992
33343,the shawshank redemption,1994,4,the+shawshank+redemption+1994
110512,howls moving castle,2004,3,howls+moving+castle+2004
71918,the dark knight,2008,5,the+dark+knight+2008
144666,frankenstein,1931,4,frankenstein+1931
63830,khartoum,1966,4,khartoum+1966
10520,the lord of the rings the fellowship of the ring,2001,5,the+lord+of+the+rings+the+fellowship+of+the+ring+2001
52525,iron man,2008,4,iron+man+2008
85169,the amazing spider-man 2,2014,3,the+amazing+spider-man+2+2014
18623,the godfather,1972,4,the+godfather+1972
73622,the lord of the rings the fellowship of the ring,2001,3,the+lord+of+the+rings+the+fellowship+of+the+ring+2001
137550,raiders of the lost ark,1981,4,raiders+of+the+lost+ark+1981
149892,the imitation game,2014,5,the+imitation+game+2014
105615,the dark knight,2008,4,the+dark+knight+2008
7804,the beast with a million eyes,1958,5,the+beast+with+a+million+eyes+1958
7832,monty python and the holy grail,1975,3,monty+python+and+the+holy+grail+1975
37340,the dark knight,2008,3,the+dark+knight+2008
39885,kundun,1997,3,kundun+1997
116891,the shawshank redemption,1994,4,the+shawshank+redemption+1994
139781,interstellar,2014,5,interstellar+2014
14655,the dark knight,2008,4,the+dark+knight+2008
65741,harry potter and the half-blood prince,2009,3,harry+potter+and+the+half-blood+prince+2009
98206,the lord of the rings the fellowship of the ring,2001,4,the+lord+of+the+rings+the+fellowship+of+the+ring+2001
83693,the abyss,1989,4,the+abyss+1989
65838,raiders of the lost ark,1981,3,raiders+of+the+lost+ark+1981
141165,the fourth kind,2009,4,the+fourth+kind+2009
124626,whiplash,2014,5,whiplash+2014
136331,my neighbor totoro,1988,5,my+neighbor+totoro+1988
105213,saints and soldiers airborne creed,2012,4,saints+and+soldiers+airborne+creed+2012
98616,the lord of the rings the fellowship of the ring,2001,4,the+lord+of+the+rings+the+fellowship+of+the+ring+2001
50779,star wars,1977,4,star+wars+1977
8453,as above_ so below,2014,4,as+above_+so+below+2014
96030,howls moving castle,2004,4,howls+moving+castle+2004
134893,coraline,2009,3,coraline+2009
60146,the lord of the rings the return of the king,2003,4,the+lord+of+the+rings+the+return+of+the+king+2003
119563,spirited away,2001,4,spirited+away+2001
92112,battlestar galactica the plan,2009,3,battlestar+galactica+the+plan+2009
145661,one flew over the cuckoos nest,1975,4,one+flew+over+the+cuckoos+nest+1975
19010,guardians of the galaxy,2014,4,guardians+of+the+galaxy+2014
65369,interstellar,2014,3,interstellar+2014
82615,one flew over the cuckoos nest,1975,5,one+flew+over+the+cuckoos+nest+1975
95597,the fire within,1963,4,the+fire+within+1963
96889,pirates of the caribbean dead mans chest,2006,4,pirates+of+the+caribbean+dead+mans+chest+2006
95060,up,2009,4,up+2009
14923,the whisperer in darkness,2011,4,the+whisperer+in+darkness+2011
136914,ghostbusters,1984,4,ghostbusters+1984
115079,my neighbor totoro,1988,4,my+neighbor+totoro+1988
47290,star wars,1977,4,star+wars+1977
78440,forrest gump,1994,4,forrest+gump+1994
125729,1911,2011,3,1911+2011
31066,one flew over the cuckoos nest,1975,4,one+flew+over+the+cuckoos+nest+1975
58624,raiders of the lost ark,1981,5,raiders+of+the+lost+ark+1981
67800,sealed cargo,1951,4,sealed+cargo+1951
51692,les misrables,2000,4,les+misrables+2000
59905,my neighbor totoro,1988,4,my+neighbor+totoro+1988
14408,the lost honor of katharina blum,1975,4,the+lost+honor+of+katharina+blum+1975
45898,star wars,1977,4,star+wars+1977
34122,the fighting seabees,1944,3,the+fighting+seabees+1944
131284,my neighbor totoro,1988,4,my+neighbor+totoro+1988
89202,the dark knight,2008,4,the+dark+knight+2008
130707,whiplash,2014,4,whiplash+2014
88076,resurrecting the champ,2007,4,resurrecting+the+champ+2007
123748,attack the gas station,1999,3,attack+the+gas+station+1999
141339,finding nemo,2003,5,finding+nemo+2003
84351,whiplash,2014,5,whiplash+2014
124592,one flew over the cuckoos nest,1975,4,one+flew+over+the+cuckoos+nest+1975
64936,my neighbor totoro,1988,4,my+neighbor+totoro+1988
117873,please vote for me,2007,4,please+vote+for+me+2007
123920,the shawshank redemption,1994,4,the+shawshank+redemption+1994
9782,spirited away,2001,3,spirited+away+2001
41303,guardians of the galaxy,2014,5,guardians+of+the+galaxy+2014
102018,the godfather,1972,4,the+godfather+1972
79843,the cobbler,2014,4,the+cobbler+2014
